code,level,preferred,term,codeReference,obs,seeAlso,excludes,other,description
82010/2,Related,0,"Ductal carcinoma in situ, cribriform type",C50._,,,,,"Ductal carcinoma in situ, cribriform type (C50._)"
82010/3,Preferred,1,"Cribriform carcinoma, NOS",,,,(except of skin M-82010/1; except of salivary gland M-85252/3),,"Cribriform carcinoma, NOS (except of skin M-82010/1; except of salivary gland M-85252/3)"
82010/3,Related,0,"Ductal carcinoma, cribriform type",C50._,,,,,"Ductal carcinoma, cribriform type (C50._)"
82010/3,Related,0,Cribriform comedo type carcinoma,"C18._, C19.9, C20.9",,,,,"Cribriform comedo type carcinoma (C18._, C19.9, C20.9)"
82010/3,Synonym,0,"Adenocarcinoma, cribriform comedo type","C18._, C19.9, C20.9",,,,,"Adenocarcinoma, cribriform comedo type (C18._, C19.9, C20.9)"
82011/3,Preferred,1,Cribriform morular thyroid carcinoma,C73.9,,,,,Cribriform morular thyroid carcinoma (C73.9)
82020/0,Preferred,1,Microcystic adenoma,,,,,,Microcystic adenoma
82040/0,Preferred,1,Lactating adenoma,C50._,,,,,Lactating adenoma (C50._)
82100/0,Preferred,1,"Adenomatous polyp, NOS",,,,,,"Adenomatous polyp, NOS"
82100/0,Synonym,0,Polypoid adenoma,,,,,,Polypoid adenoma
82100/0,Related,0,"Ampullary adenoma, NOS",C24.1,,,,,"Ampullary adenoma, NOS (C24.1)"
82100/0,Related,0,"Non-ampullary adenoma, NOS",C17._,,,,,"Non-ampullary adenoma, NOS (C17._)"
82101/0,Preferred,1,"Adenomatous polyp, low-grade",,,,,,"Adenomatous polyp, low-grade"
82101/0,Related,0,"Ampullary adenoma, low-grade",C24.1,,,,,"Ampullary adenoma, low-grade (C24.1)"
82101/0,Related,0,"Non-ampullary adenoma, low-grade",C17._,,,,,"Non-ampullary adenoma, low-grade (C17._)"
82102/0,Preferred,1,"Conventional adenoma, NOS",,,,,,"Conventional adenoma, NOS"
82103/0,Preferred,1,"Conventional adenoma, low-grade",,,,,,"Conventional adenoma, low-grade"
82104/0,Preferred,1,"Foveolar-type adenoma, NOS",,,,,,"Foveolar-type adenoma, NOS"
82105/0,Preferred,1,"Foveolar-type adenoma, low-grade",,,,,,"Foveolar-type adenoma, low-grade"
82101/2,Preferred,1,"Adenomatous polyp, high-grade",,,,,,"Adenomatous polyp, high-grade"
82101/2,Synonym,0,Adenocarcinoma in situ in adenomatous polyp,,,,,,Adenocarcinoma in situ in adenomatous polyp
82101/2,Synonym,0,"Adenocarcinoma in situ in polyp, NOS",,,,,,"Adenocarcinoma in situ in polyp, NOS"
82101/2,Synonym,0,"Carcinoma in situ in polyp, NOS",,,,,,"Carcinoma in situ in polyp, NOS"
82101/2,Synonym,0,Adenocarcinoma in situ in polypoid adenoma,,,,,,Adenocarcinoma in situ in polypoid adenoma
82101/2,Synonym,0,Carcinoma in situ in adenomatous polyp,,,,,,Carcinoma in situ in adenomatous polyp
82101/2,Related,0,"Ampullary adenoma, high-grade",C24.1,,,,,"Ampullary adenoma, high-grade (C24.1)"
82101/2,Related,0,"Non-ampullary adenoma, high-grade",C17._,,,,,"Non-ampullary adenoma, high-grade (C17._)"
82103/2,Preferred,1,"Conventional adenoma, high-grade",,,,,,"Conventional adenoma, high-grade"
82105/2,Preferred,1,"Foveolar-type adenoma, high-grade",,,,,,"Foveolar-type adenoma, high-grade"
82108/2,Preferred,1,Advanced adenoma,,,,,,Advanced adenoma
82100/3,Preferred,1,Adenocarcinoma in adenomatous polyp,,,,,,Adenocarcinoma in adenomatous polyp
82100/3,Synonym,0,"Adenocarcinoma in polyp, NOS",,,,,,"Adenocarcinoma in polyp, NOS"
82100/3,Synonym,0,"Carcinoma in polyp, NOS",,,,,,"Carcinoma in polyp, NOS"
82100/3,Synonym,0,Adenocarcinoma in polypoid adenoma,,,,,,Adenocarcinoma in polypoid adenoma
82100/3,Synonym,0,Carcinoma in adenomatous polyp,,,,,,Carcinoma in adenomatous polyp
82110/0,Preferred,1,"Tubular adenoma, NOS",,,,,,"Tubular adenoma, NOS"
82110/0,Related,0,Tubular papillary adenoma,C44._,,,,,Tubular papillary adenoma (C44._)
82110/0,Synonym,0,Tubular apocrine adenoma,C44._,,,,,Tubular apocrine adenoma (C44._)
82111/0,Preferred,1,"Tubular adenoma, low-grade",,,,,,"Tubular adenoma, low-grade"
82111/2,Preferred,1,"Tubular adenoma, high-grade",,,,,,"Tubular adenoma, high-grade"
82111/2,Synonym,0,Adenocarcinoma in situ in tubular adenoma,,,,,,Adenocarcinoma in situ in tubular adenoma
82110/3,Preferred,1,Adenocarcinoma in tubular adenoma,,,,,,Adenocarcinoma in tubular adenoma
82112/3,Preferred,1,"Tubular adenocarcinoma, NOS",,,,,,"Tubular adenocarcinoma, NOS"
82112/3,Synonym,0,Tubular carcinoma,,,,,,Tubular carcinoma
82113/3,Preferred,1,Tubular adenocarcinoma with mixed features,,,,,,Tubular adenocarcinoma with mixed features
82113/3,Synonym,0,Tubular adenocarcinoma with hybrid features,,,,,,Tubular adenocarcinoma with hybrid features
82120/0,Preferred,1,Flat adenoma,,,,,,Flat adenoma
82130/0,Preferred,1,"Sessile serrated lesion, NOS",C18._,,,,,"Sessile serrated lesion, NOS (C18._)"
82130/0,Synonym,0,"Serrated adenoma, NOS",C18._,,,,,"Serrated adenoma, NOS (C18._)"
82130/0,Synonym,0,Mixed adenomatous and hyperplastic polyp,C18._,,,,,Mixed adenomatous and hyperplastic polyp (C18._)
82130/0,Synonym,0,"Sessile serrated adenoma, NOS",C18._,[obs],,,,"Sessile serrated adenoma, NOS (C18._) [obs]"
82130/0,Synonym,0,Sessile serrated polyp,C18._,,,,,Sessile serrated polyp (C18._)
82131/0,Preferred,1,"Traditional serrated adenoma, NOS",C18._,,,,,"Traditional serrated adenoma, NOS (C18._)"
82131/0,Synonym,0,Traditional sessile serrated adenoma,C18._,,,,,Traditional sessile serrated adenoma (C18._)
82132/0,Preferred,1,"Traditional serrated adenoma, low-grade dysplasia",C18._,,,,,"Traditional serrated adenoma, low-grade dysplasia (C18._)"
82133/0,Preferred,1,"Serrated adenoma, unclassified",C18._,,,,,"Serrated adenoma, unclassified (C18._)"
82130/2,Preferred,1,Sessile serrated lesion with dysplasia,C18._,,,,,Sessile serrated lesion with dysplasia (C18._)
82130/2,Synonym,0,Serrated polyp with dysplasia,C18._,,,,,Serrated polyp with dysplasia (C18._)
82130/2,Synonym,0,Serrated adenoma with dysplasia,C18._,[obs],,,,Serrated adenoma with dysplasia (C18._) [obs]
82130/2,Synonym,0,Serrated dysplasia,,,,,,Serrated dysplasia
82132/2,Preferred,1,"Traditional serrated adenoma, high-grade dysplasia",C18._,,,,,"Traditional serrated adenoma, high-grade dysplasia (C18._)"
82130/3,Preferred,1,Serrated adenocarcinoma,,,,,,Serrated adenocarcinoma
82140/3,Preferred,1,Parietal cell carcinoma,C16._,,,,,Parietal cell carcinoma (C16._)
82140/3,Synonym,0,Parietal cell adenocarcinoma,C16._,,,,,Parietal cell adenocarcinoma (C16._)
82150/3,Preferred,1,Adenocarcinoma of anal glands,C21.1,,,,,Adenocarcinoma of anal glands (C21.1)
82150/3,Synonym,0,Adenocarcinoma of anal ducts,C21.1,,,,,Adenocarcinoma of anal ducts (C21.1)
82200/0,Preferred,1,Adenomatous polyposis coli,C18._,,,,,Adenomatous polyposis coli (C18._)
82200/0,Synonym,0,"Adenomatosis, NOS",,,,,,"Adenomatosis, NOS"
82200/0,Synonym,0,Familial polyposis coli,C18._,,,,,Familial polyposis coli (C18._)
82201/0,Preferred,1,Serrated polyposis,C18._,,,,,Serrated polyposis (C18._)
82200/3,Preferred,1,Adenocarcinoma in adenomatous polyposis coli,C18._,,,,,Adenocarcinoma in adenomatous polyposis coli (C18._)
82210/0,Preferred,1,Multiple adenomatous polyps,,,,,,Multiple adenomatous polyps
82210/3,Preferred,1,Adenocarcinoma in multiple adenomatous polyps,,,,,,Adenocarcinoma in multiple adenomatous polyps
82300/2,Preferred,1,"Ductal carcinoma in situ, solid type",C50._,[obs],,,,"Ductal carcinoma in situ, solid type (C50._) [obs]"
82300/2,Synonym,0,"Intraductal carcinoma, solid type",,,,,,"Intraductal carcinoma, solid type"
82300/3,Preferred,1,"Solid adenocarcinoma, NOS",,,,,,"Solid adenocarcinoma, NOS"
82300/3,Synonym,0,"Solid carcinoma, NOS",,,,,,"Solid carcinoma, NOS"
82302/3,Preferred,1,Solid carcinoma with mucin formation,,[obs],,,,Solid carcinoma with mucin formation [obs]
82302/3,Synonym,0,Solid adenocarcinoma with mucin formation,,[obs],,,,Solid adenocarcinoma with mucin formation [obs]
82310/3,Preferred,1,Carcinoma simplex,,[obs],,,,Carcinoma simplex [obs]
82400/3,Preferred,1,"Neuroendocrine tumour, NOS",,,,,,"Neuroendocrine tumour, NOS"
82400/3,Synonym,0,"Carcinoid tumour, NOS",,,,,,"Carcinoid tumour, NOS"
82400/3,Synonym,0,"Carcinoid, NOS",,,,,,"Carcinoid, NOS"
82400/3,Synonym,0,"Neuroendocrine carcinoma, low-grade",,[obs],,,,"Neuroendocrine carcinoma, low-grade [obs]"
82400/3,Synonym,0,"Endocrine tumour, well-differentiated",,,,,,"Endocrine tumour, well-differentiated"
82400/3,Synonym,0,"Neuroendocrine carcinoma, well-differentiated",,[obs],,,,"Neuroendocrine carcinoma, well-differentiated [obs]"
82400/3,Synonym,0,"Bronchial adenoma, carcinoid",C34._,,,,,"Bronchial adenoma, carcinoid (C34._)"
82401/3,Preferred,1,"Neuroendocrine tumour, grade 1",,,,,,"Neuroendocrine tumour, grade 1"
82401/3,Synonym,0,"Typical carcinoid, NOS",,,,,,"Typical carcinoid, NOS"
82401/3,Synonym,0,Typical carcinoid tumour,,,,,,Typical carcinoid tumour
82402/3,Preferred,1,Middle ear neuroendocrine tumour,C30.1,,,,,Middle ear neuroendocrine tumour (C30.1)
82410/3,Preferred,1,Serotonin-producing tumour,,,,,,Serotonin-producing tumour
82410/3,Synonym,0,Serotonin-producing neuroendocrine tumour,,,,,,Serotonin-producing neuroendocrine tumour
82410/3,Synonym,0,Serotonin-producing carcinoid,,[obs],,,,Serotonin-producing carcinoid [obs]
82410/3,Synonym,0,Serotonin-producing enterochromaffin-cell (EC-cell) NET,,,,,,Serotonin-producing enterochromaffin-cell (EC-cell) NET
82410/3,Synonym,0,Enterochromaffin-cell neuroendocrine tumour,,,,,,Enterochromaffin-cell neuroendocrine tumour
82410/3,Synonym,0,Enterochromaffin-cell carcinoid,,[obs],,,,Enterochromaffin-cell carcinoid [obs]
82410/3,Synonym,0,Argentaffinoma,,[obs],,,,Argentaffinoma [obs]
82410/3,Synonym,0,"Carcinoid tumour, argentaffin",,[obs],,,,"Carcinoid tumour, argentaffin [obs]"
82410/3,Synonym,0,EC-cell neuroendocrine tumour,,,,,,EC-cell neuroendocrine tumour
82410/3,Synonym,0,EC-cell carcinoid,,[obs],,,,EC-cell carcinoid [obs]
82420/3,Preferred,1,Enterochromaffin-like cell tumour,,,,,,Enterochromaffin-like cell tumour
82420/3,Synonym,0,ECL-cell NET,,,,,,ECL-cell NET
82420/3,Synonym,0,ECL-cell carcinoid,,,,,,ECL-cell carcinoid
82420/3,Synonym,0,Histamine-producing enterochromaffin-like-cell NET,,,,,,Histamine-producing enterochromaffin-like-cell NET
82430/3,Preferred,1,Goblet cell adenocarcinoma,,,,,,Goblet cell adenocarcinoma
82430/3,Synonym,0,Goblet cell carcinoma,,,,,,Goblet cell carcinoma
82430/3,Synonym,0,Goblet cell carcinoid,,[obs],,,,Goblet cell carcinoid [obs]
82430/3,Synonym,0,Mucinous carcinoid,,[obs],,,,Mucinous carcinoid [obs]
82430/3,Synonym,0,Mucocarcinoid tumour,,[obs],,,,Mucocarcinoid tumour [obs]
82440/3,Preferred,1,Mixed adenoneuroendocrine carcinoma,,,,,,Mixed adenoneuroendocrine carcinoma
82440/3,Synonym,0,MANEC,,,,,,MANEC
82440/3,Synonym,0,Adenocarcinoma mixed with neuroendocrine carcinoma,,,,,,Adenocarcinoma mixed with neuroendocrine carcinoma
82441/3,Preferred,1,Combined carcinoid and adenocarcinoma,,,,,,Combined carcinoid and adenocarcinoma
82441/3,Synonym,0,Mixed carcinoid and adenocarcinoma,,,,,,Mixed carcinoid and adenocarcinoma
82441/3,Synonym,0,Mixed carcinoid-adenocarcinoma,,,,,,Mixed carcinoid-adenocarcinoma
82441/3,Synonym,0,Composite carcinoid-adenocarcinoma,,,,,,Composite carcinoid-adenocarcinoma
82441/3,Synonym,0,Composite carcinoid,,,,,,Composite carcinoid
82442/3,Preferred,1,Mixed ductal adenocarcinoma-neuroendocrine tumour,C25._,,,,,Mixed ductal adenocarcinoma-neuroendocrine tumour (C25._)
82443/3,Preferred,1,Mixed acinar carcinoma-neuroendocrine tumour,C25._,,,,,Mixed acinar carcinoma-neuroendocrine tumour (C25._)
82450/1,Preferred,1,Tubular carcinoid,,,,,,Tubular carcinoid
82450/3,Preferred,1,Adenocarcinoid tumour,,[obs],,,,Adenocarcinoid tumour [obs]
82460/3,Preferred,1,"Neuroendocrine carcinoma, NOS",,,,,,"Neuroendocrine carcinoma, NOS"
82460/3,Synonym,0,Poorly differentiated neuroendocrine neoplasm,,,,,,Poorly differentiated neuroendocrine neoplasm
82460/3,Synonym,0,Poorly differentiated endocrine carcinoma,,,,,,Poorly differentiated endocrine carcinoma
82460/3,Synonym,0,"Neuroendocrine carcinoma, high-grade",,,,,,"Neuroendocrine carcinoma, high-grade"
82470/3,Preferred,1,Merkel cell carcinoma,C44._,,,,,Merkel cell carcinoma (C44._)
82470/3,Synonym,0,Merkel cell tumour,C44._,,,,,Merkel cell tumour (C44._)
82470/3,Synonym,0,Primary cutaneous neuroendocrine carcinoma,C44._,,,,,Primary cutaneous neuroendocrine carcinoma (C44._)
82480/3,Preferred,1,Apudoma,,[obs],,,,Apudoma [obs]
82490/3,Preferred,1,"Neuroendocrine tumour, grade 2",,,,,,"Neuroendocrine tumour, grade 2"
82490/3,Synonym,0,Atypical carcinoid tumour,,,,,,Atypical carcinoid tumour
82490/3,Synonym,0,Atypical carcinoid,,,,,,Atypical carcinoid
82490/3,Synonym,0,"Neuroendocrine carcinoma, moderately differentiated",,[obs],,,,"Neuroendocrine carcinoma, moderately differentiated [obs]"
82491/3,Preferred,1,"Neuroendocrine tumour, grade 3",,,,,,"Neuroendocrine tumour, grade 3"
82500/0,Preferred,1,Atypical adenomatous hyperplasia,,,,,,Atypical adenomatous hyperplasia
82500/1,Preferred,1,Pulmonary adenomatosis,C34._,[obs],,,,Pulmonary adenomatosis (C34._) [obs]
82500/2,Preferred,1,"Adenocarcinoma in situ of lung, non-mucinous",C34._,,,,,"Adenocarcinoma in situ of lung, non-mucinous (C34._)"
82500/3,Preferred,1,Lepidic adenocarcinoma,C34._,,,,,Lepidic adenocarcinoma (C34._)
82500/3,Synonym,0,"Bronchiolo-alveolar adenocarcinoma, NOS",C34._,[obs],,,,"Bronchiolo-alveolar adenocarcinoma, NOS (C34._) [obs]"
82500/3,Synonym,0,"Bronchiolo-alveolar carcinoma, NOS",C34._,[obs],,,,"Bronchiolo-alveolar carcinoma, NOS (C34._) [obs]"
82500/3,Synonym,0,Alveolar cell carcinoma,C34._,[obs],,,,Alveolar cell carcinoma (C34._) [obs]
82500/3,Synonym,0,Bronchiolar adenocarcinoma,C34._,[obs],,,,Bronchiolar adenocarcinoma (C34._) [obs]
82500/3,Synonym,0,Bronchiolar carcinoma,C34._,[obs],,,,Bronchiolar carcinoma (C34._) [obs]
82510/0,Preferred,1,Alveolar adenoma,C34._,,,,,Alveolar adenoma (C34._)
82510/3,Preferred,1,Alveolar adenocarcinoma,C34._,[obs],,,,Alveolar adenocarcinoma (C34._) [obs]
82510/3,Synonym,0,Alveolar carcinoma,,[obs],,,,Alveolar carcinoma [obs]
82520/3,Preferred,1,"Adenocarcinoma, non-mucinous",,,,,,"Adenocarcinoma, non-mucinous"
82520/3,Related,0,"Bronchiolo-alveolar carcinoma, non-mucinous",C34._,[obs],,,,"Bronchiolo-alveolar carcinoma, non-mucinous (C34._) [obs]"
82520/3,Synonym,0,"Bronchiolo-alveolar carcinoma, Clara cell, NOS",C34._,[obs],,,,"Bronchiolo-alveolar carcinoma, Clara cell, NOS (C34._) [obs]"
82520/3,Synonym,0,"Bronchiolo-alveolar carcinoma, type II pneumocyte, NOS",C34._,[obs],,,,"Bronchiolo-alveolar carcinoma, type II pneumocyte, NOS (C34._) [obs]"
82530/2,Preferred,1,"Adenocarcinoma in situ of lung, mucinous",C34._,,,,,"Adenocarcinoma in situ of lung, mucinous (C34._)"
82530/3,Preferred,1,"Adenocarcinoma of lung, mucinous",C34._,,,,,"Adenocarcinoma of lung, mucinous (C34._)"
82530/3,Synonym,0,Mucinous carcinoma of lung,C34._,,,,,Mucinous carcinoma of lung (C34._)
82530/3,Synonym,0,"Bronchiolo-alveolar carcinoma, mucinous",C34._,[obs],,,,"Bronchiolo-alveolar carcinoma, mucinous (C34._) [obs]"
82530/3,Synonym,0,"Bronchiolo-alveolar carcinoma, goblet cell type",C34._,[obs],,,,"Bronchiolo-alveolar carcinoma, goblet cell type (C34._) [obs]"
82540/3,Preferred,1,"Adenocarcinoma of lung, mixed mucinous and non-mucinous",C34._,,,,,"Adenocarcinoma of lung, mixed mucinous and non-mucinous (C34._)"
82540/3,Synonym,0,"Bronchiolo-alveolar carcinoma, mixed mucinous and non-mucinous",C34._,[obs],,,,"Bronchiolo-alveolar carcinoma, mixed mucinous and non-mucinous (C34._) [obs]"
82540/3,Synonym,0,"Bronchiolo-alveolar carcinoma, Clara cell and goblet cell type",C34._,[obs],,,,"Bronchiolo-alveolar carcinoma, Clara cell and goblet cell type (C34._) [obs]"
82540/3,Synonym,0,"Bronchiolo-alveolar carcinoma, indeterminate type",C34._,[obs],,,,"Bronchiolo-alveolar carcinoma, indeterminate type (C34._) [obs]"
82540/3,Synonym,0,"Bronchiolo-alveolar carcinoma, type II pneumocyte and goblet cell type",C34._,[obs],,,,"Bronchiolo-alveolar carcinoma, type II pneumocyte and goblet cell type (C34._) [obs]"
82550/3,Preferred,1,Adenocarcinoma with mixed subtypes,,,,(except of gynaecological or urological tract M-83230/3),,Adenocarcinoma with mixed subtypes (except of gynaecological or urological tract M-83230/3)
82550/3,Synonym,0,"Adenocarcinoma, mixed pattern",,,,(except of gynaecological or urological tract M-83230/3),,"Adenocarcinoma, mixed pattern (except of gynaecological or urological tract M-83230/3)"
82550/3,Synonym,0,"Adenocarcinoma, mixed, NOS",,,,(except of gynaecological or urological tract M-83230/3),,"Adenocarcinoma, mixed, NOS (except of gynaecological or urological tract M-83230/3)"
82560/3,Preferred,1,"Minimally invasive adenocarcinoma, non-mucinous",C34._,,,,,"Minimally invasive adenocarcinoma, non-mucinous (C34._)"
82570/3,Preferred,1,"Minimally invasive adenocarcinoma, mucinous",C34._,,,,,"Minimally invasive adenocarcinoma, mucinous (C34._)"
82600/0,Preferred,1,"Papillary adenoma, NOS",,,,,,"Papillary adenoma, NOS"
82600/0,Related,0,Glandular papilloma,,,,,,Glandular papilloma
82600/0,Related,0,Renal papillary adenoma,C64.9,,,,,Renal papillary adenoma (C64.9)
82600/0,Synonym,0,Renal tubulopapillary adenoma,C64.9,,,,,Renal tubulopapillary adenoma (C64.9)
82600/3,Preferred,1,"Papillary adenocarcinoma, NOS",,,,,,"Papillary adenocarcinoma, NOS"
82601/3,Preferred,1,Low-grade papillary adenocarcinoma,C37.9,,,,,Low-grade papillary adenocarcinoma (C37.9)
82601/3,Related,0,Middle ear adenocarcinoma,C30.1,,,,,Middle ear adenocarcinoma (C30.1)
82601/3,Synonym,0,Aggressive papillary tumour,,[obs],,,,Aggressive papillary tumour [obs]
82601/3,Synonym,0,Papillary adenocarcinoma of middle ear,,,,,,Papillary adenocarcinoma of middle ear
82602/3,Preferred,1,Papillary renal cell carcinoma,C64.9,,,,,Papillary renal cell carcinoma (C64.9)
82603/3,Preferred,1,"Papillary thyroid carcinoma, NOS",C73.9,,,,,"Papillary thyroid carcinoma, NOS (C73.9)"
82603/3,Synonym,0,"Papillary carcinoma of thyroid, NOS",C73.9,,,,,"Papillary carcinoma of thyroid, NOS (C73.9)"
82604/3,Preferred,1,"Papillary thyroid carcinoma, classic, NOS",C73.9,,,,,"Papillary thyroid carcinoma, classic, NOS (C73.9)"
82605/3,Preferred,1,Hobnail papillary thyroid carcinoma,C73.9,,,,,Hobnail papillary thyroid carcinoma (C73.9)
82606/3,Preferred,1,Solid/trabecular papillary thyroid carcinoma,C73.9,,,,,Solid/trabecular papillary thyroid carcinoma (C73.9)
82607/3,Preferred,1,Warthin-like papillary thyroid carcinoma,C73.9,,,,,Warthin-like papillary thyroid carcinoma (C73.9)
82608/3,Preferred,1,Clear cell papillary thyroid carcinoma,C73.9,,,,,Clear cell papillary thyroid carcinoma (C73.9)
82609/3,Preferred,1,Spindle cell papillary thyroid carcinoma,C73.9,,,,,Spindle cell papillary thyroid carcinoma (C73.9)
8260A/3,Preferred,1,Papillary thyroid carcinoma with fibromatosis/fasciitis-like/desmoid-type stroma,C73.9,,,,,Papillary thyroid carcinoma with fibromatosis/fasciitis-like/desmoid-type stroma (C73.9)
82610/0,Preferred,1,"Villous adenoma, NOS",,,,,,"Villous adenoma, NOS"
82610/0,Synonym,0,Villous papilloma,,,,,,Villous papilloma
82611/0,Preferred,1,"Villous adenoma, low-grade",,,,,,"Villous adenoma, low-grade"
82611/2,Preferred,1,"Villous adenoma, high-grade",,,,,,"Villous adenoma, high-grade"
82611/2,Synonym,0,Adenocarcinoma in situ in villous adenoma,,,,,,Adenocarcinoma in situ in villous adenoma
82610/3,Preferred,1,Adenocarcinoma in villous adenoma,,,,,,Adenocarcinoma in villous adenoma
82620/3,Preferred,1,Villous adenocarcinoma,,,,,,Villous adenocarcinoma
82620/3,Synonym,0,Adenoma-like adenocarcinoma,,,,,,Adenoma-like adenocarcinoma
82630/0,Preferred,1,"Tubulovillous adenoma, NOS",,,,,,"Tubulovillous adenoma, NOS"
82630/0,Synonym,0,Villoglandular adenoma,,,,,,Villoglandular adenoma
82631/0,Preferred,1,Papillotubular adenoma,,,,,,Papillotubular adenoma
82631/0,Synonym,0,Tubulo-papillary adenoma,,,,,,Tubulo-papillary adenoma
82632/0,Preferred,1,"Tubulovillous adenoma, low-grade",,,,,,"Tubulovillous adenoma, low-grade"
82632/2,Preferred,1,"Tubulovillous adenoma, high-grade",,,,,,"Tubulovillous adenoma, high-grade"
82632/2,Synonym,0,Adenocarcinoma in situ in tubulovillous adenoma,,,,,,Adenocarcinoma in situ in tubulovillous adenoma
82630/3,Preferred,1,Adenocarcinoma in tubulovillous adenoma,,,,,,Adenocarcinoma in tubulovillous adenoma
