icd10_code,icd10_desc,icdo4_code,icdo4_desc
C44.7,"Other and unspecified malignant neoplasm of skin of lower limb, including hip",8052C/0,Ungual fibrokeratoma
C44.6,"Other and unspecified malignant neoplasm of skin of upper limb, including shoulder",8052D/0,Onychocytic matricoma
C44.7,"Other and unspecified malignant neoplasm of skin of lower limb, including hip",8052D/0,Onychocytic matricoma
C44.0,Other and unspecified malignant neoplasm of skin of lip,80700/2,Bowen disease
C44.00,Unspecified malignant neoplasm of skin of lip,80700/2,Bowen disease
C44.01,Basal cell carcinoma of skin of lip,80700/2,Bowen disease
C44.02,Squamous cell carcinoma of skin of lip,80700/2,Bowen disease
C44.09,Other specified malignant neoplasm of skin of lip,80700/2,Bowen disease
C44.1,"Other and unspecified malignant neoplasm of skin of eyelid, including canthus",80700/2,Bowen disease
C44.10,"Unspecified malignant neoplasm of skin of eyelid, including canthus",80700/2,Bowen disease
C44.101,"Unspecified malignant neoplasm of skin of unspecified eyelid, including canthus",80700/2,Bowen disease
C44.102,"Unspecified malignant neoplasm of skin of right eyelid, including canthus",80700/2,Bowen disease
C44.1021,"Unspecified malignant neoplasm of skin of right upper eyelid, including canthus",80700/2,Bowen disease
